text,intent,user_type
Show all restaurants,admin_list_restaurants,admin
List restaurants,admin_list_restaurants,admin
Display restaurants,admin_list_restaurants,admin
What restaurants do we have?,admin_list_restaurants,admin
Show restaurant list,admin_list_restaurants,admin
Get all restaurants,admin_list_restaurants,admin
View restaurants,admin_list_restaurants,admin
Restaurant list please,admin_list_restaurants,admin
Can you show restaurants?,admin_list_restaurants,admin
I want to see all restaurants,admin_list_restaurants,admin
Show me the restaurants,admin_list_restaurants,admin
Display all restaurants,admin_list_restaurants,admin
List all restaurants in system,admin_list_restaurants,admin
What restaurants are available?,admin_list_restaurants,admin
Show available restaurants,admin_list_restaurants,admin
Restaurants menu,admin_list_restaurants,admin
Show restaurant database,admin_list_restaurants,admin
View all restaurants,admin_list_restaurants,admin
Display restaurant list,admin_list_restaurants,admin
Show me restaurants,admin_list_restaurants,admin
Show all restaurants,admin_list_restaurants,admin
List restaurants,admin_list_restaurants,admin
Display restaurants,admin_list_restaurants,admin
What restaurants do we have?,admin_list_restaurants,admin
Show restaurant list,admin_list_restaurants,admin
Get all restaurants,admin_list_restaurants,admin
View restaurants,admin_list_restaurants,admin
Restaurant list please,admin_list_restaurants,admin
Can you show restaurants?,admin_list_restaurants,admin
I want to see all restaurants,admin_list_restaurants,admin
Show me the restaurants,admin_list_restaurants,admin
Display all restaurants,admin_list_restaurants,admin
List all restaurants in system,admin_list_restaurants,admin
What restaurants are available?,admin_list_restaurants,admin
Show available restaurants,admin_list_restaurants,admin
Restaurants menu,admin_list_restaurants,admin
Show restaurant database,admin_list_restaurants,admin
View all restaurants,admin_list_restaurants,admin
Display restaurant list,admin_list_restaurants,admin
Show me restaurants,admin_list_restaurants,admin
Show all restaurants,admin_list_restaurants,admin
List restaurants,admin_list_restaurants,admin
Display restaurants,admin_list_restaurants,admin
What restaurants do we have?,admin_list_restaurants,admin
Show restaurant list,admin_list_restaurants,admin
Get all restaurants,admin_list_restaurants,admin
View restaurants,admin_list_restaurants,admin
Restaurant list please,admin_list_restaurants,admin
Can you show restaurants?,admin_list_restaurants,admin
I want to see all restaurants,admin_list_restaurants,admin
Show me the restaurants,admin_list_restaurants,admin
Display all restaurants,admin_list_restaurants,admin
List all restaurants in system,admin_list_restaurants,admin
What restaurants are available?,admin_list_restaurants,admin
Show available restaurants,admin_list_restaurants,admin
Restaurants menu,admin_list_restaurants,admin
Show restaurant database,admin_list_restaurants,admin
View all restaurants,admin_list_restaurants,admin
Display restaurant list,admin_list_restaurants,admin
Show me restaurants,admin_list_restaurants,admin
Show all restaurants,admin_list_restaurants,admin
List restaurants,admin_list_restaurants,admin
Display restaurants,admin_list_restaurants,admin
What restaurants do we have?,admin_list_restaurants,admin
Show restaurant list,admin_list_restaurants,admin
Get all restaurants,admin_list_restaurants,admin
View restaurants,admin_list_restaurants,admin
Restaurant list please,admin_list_restaurants,admin
Can you show restaurants?,admin_list_restaurants,admin
I want to see all restaurants,admin_list_restaurants,admin
Show me the restaurants,admin_list_restaurants,admin
Display all restaurants,admin_list_restaurants,admin
List all restaurants in system,admin_list_restaurants,admin
What restaurants are available?,admin_list_restaurants,admin
Show available restaurants,admin_list_restaurants,admin
Restaurants menu,admin_list_restaurants,admin
Show restaurant database,admin_list_restaurants,admin
View all restaurants,admin_list_restaurants,admin
Display restaurant list,admin_list_restaurants,admin
Show me restaurants,admin_list_restaurants,admin
Show all restaurants,admin_list_restaurants,admin
List restaurants,admin_list_restaurants,admin
Display restaurants,admin_list_restaurants,admin
What restaurants do we have?,admin_list_restaurants,admin
Show restaurant list,admin_list_restaurants,admin
Get all restaurants,admin_list_restaurants,admin
View restaurants,admin_list_restaurants,admin
Restaurant list please,admin_list_restaurants,admin
Can you show restaurants?,admin_list_restaurants,admin
I want to see all restaurants,admin_list_restaurants,admin
Show me the restaurants,admin_list_restaurants,admin
Display all restaurants,admin_list_restaurants,admin
List all restaurants in system,admin_list_restaurants,admin
What restaurants are available?,admin_list_restaurants,admin
Show available restaurants,admin_list_restaurants,admin
Restaurants menu,admin_list_restaurants,admin
Show restaurant database,admin_list_restaurants,admin
View all restaurants,admin_list_restaurants,admin
Display restaurant list,admin_list_restaurants,admin
